pool,pool_label,week_start,variant,next_cumulative_net_return_bps,next_cumulative_alpha_bps
baseline_pool_l,09:31-09:40,2022-01-04,09:31-09:40,-73.072153,-24.797201412889997
baseline_pool_l,09:31-09:40,2022-01-05,09:31-09:40,-74.204376,-14.847440894892024
baseline_pool_l,09:31-09:40,2022-01-06,09:31-09:40,-101.533510,-10.711318968481606
baseline_pool_l,09:31-09:40,2022-01-07,09:31-09:40,-141.181808,2.637610773996272
baseline_pool_l,09:31-09:40,2022-01-10,09:31-09:40,-65.892741,38.61279918114133
baseline_pool_l,09:31-09:40,2022-01-11,09:31-09:40,-39.477184,43.80709284427951
baseline_pool_l,09:31-09:40,2022-01-12,09:31-09:40,-47.152301,47.809873923358055
baseline_pool_l,09:31-09:40,2022-01-13,09:31-09:40,-93.897507,67.10733793210518
baseline_pool_l,09:31-09:40,2022-01-14,09:31-09:40,33.827324,116.0612703857627
baseline_pool_l,09:31-09:40,2022-01-17,09:31-09:40,43.303650,118.33978482174828
baseline_pool_l,09:31-09:40,2022-01-18,09:31-09:40,-30.409242,89.13879929143638
baseline_pool_l,09:31-09:40,2022-01-19,09:31-09:40,-147.670283,97.36708793384565
baseline_pool_l,09:31-09:40,2022-01-20,09:31-09:40,-344.864965,62.77440376703464
baseline_pool_l,09:31-09:40,2022-01-21,09:31-09:40,-406.410943,45.32936987010794
baseline_pool_l,09:31-09:40,2022-01-24,09:31-09:40,-555.766647,69.98068132721005
baseline_pool_l,09:31-09:40,2022-01-25,09:31-09:40,-716.515577,64.01673294450859
baseline_pool_l,09:31-09:40,2022-01-26,09:31-09:40,-909.898236,31.771483033003506
baseline_pool_l,09:31-09:40,2022-01-27,09:31-09:40,-1029.726779,-6.091410473496694
baseline_pool_l,09:31-09:40,2022-01-28,09:31-09:40,-927.173384,10.29396640272148
baseline_pool_l,09:31-09:40,2022-02-07,09:31-09:40,-788.545026,72.65085201623504
baseline_pool_l,09:31-09:40,2022-02-08,09:31-09:40,-606.433848,105.45704948205992
baseline_pool_l,09:31-09:40,2022-02-09,09:31-09:40,-502.744580,167.25338963330125
baseline_pool_l,09:31-09:40,2022-02-10,09:31-09:40,-567.280720,222.31201880247397
baseline_pool_l,09:31-09:40,2022-02-11,09:31-09:40,-637.865217,230.29350178214963
baseline_pool_l,09:31-09:40,2022-02-14,09:31-09:40,-569.883285,254.22366656142572
baseline_pool_l,09:31-09:40,2022-02-15,09:31-09:40,-446.652995,281.58512925038735
baseline_pool_l,09:31-09:40,2022-02-16,09:31-09:40,-401.020691,297.6212700462654
baseline_pool_l,09:31-09:40,2022-02-17,09:31-09:40,-352.209889,305.60757084761684
baseline_pool_l,09:31-09:40,2022-02-18,09:31-09:40,-157.508453,385.14551918354084
baseline_pool_l,09:31-09:40,2022-02-21,09:31-09:40,-132.619279,424.6082178005034
baseline_pool_l,09:31-09:40,2022-02-22,09:31-09:40,-47.512185,445.0222017608232
baseline_pool_l,09:31-09:40,2022-02-23,09:31-09:40,-71.410995,477.59651754029494
baseline_pool_l,09:31-09:40,2022-02-24,09:31-09:40,-107.117634,495.7786856567405
baseline_pool_l,09:31-09:40,2022-02-25,09:31-09:40,-106.600769,503.18647596244773
baseline_pool_l,09:31-09:40,2022-02-28,09:31-09:40,-6.238861,536.0011143877427
baseline_pool_l,09:31-09:40,2022-03-01,09:31-09:40,18.807104,524.6510399314342
baseline_pool_l,09:31-09:40,2022-03-02,09:31-09:40,62.446581,555.1543845938887
baseline_pool_l,09:31-09:40,2022-03-03,09:31-09:40,-3.870886,572.1768607445993
baseline_pool_l,09:31-09:40,2022-03-04,09:31-09:40,-64.362324,621.4578154141794
baseline_pool_l,09:31-09:40,2022-03-07,09:31-09:40,-253.062042,633.1435544227768
baseline_pool_l,09:31-09:40,2022-03-08,09:31-09:40,-377.118379,696.8372059682835
baseline_pool_l,09:31-09:40,2022-03-09,09:31-09:40,-255.813314,792.8646210102862
baseline_pool_l,09:31-09:40,2022-03-10,09:31-09:40,-196.729180,813.9212715609154
baseline_pool_l,09:31-09:40,2022-03-11,09:31-09:40,-193.117967,823.914507701098
baseline_pool_l,09:31-09:40,2022-03-14,09:31-09:40,-481.594844,887.6469519927113
baseline_pool_l,09:31-09:40,2022-03-15,09:31-09:40,-477.570431,930.9160618916517
baseline_pool_l,09:31-09:40,2022-03-16,09:31-09:40,-223.968158,968.3744333438988
baseline_pool_l,09:31-09:40,2022-03-17,09:31-09:40,-149.146989,964.2458244318542
baseline_pool_l,09:31-09:40,2022-03-18,09:31-09:40,-7.452466,984.1471309658102
baseline_pool_l,09:31-09:40,2022-03-21,09:31-09:40,46.604627,1005.9170605155754
baseline_pool_l,09:31-09:40,2022-03-22,09:31-09:40,46.526640,961.2551501638844
baseline_pool_l,09:31-09:40,2022-03-23,09:31-09:40,-16.847740,937.7376194698118
baseline_pool_l,09:31-09:40,2022-03-24,09:31-09:40,-47.763880,939.8713778451959
baseline_pool_l,09:31-09:40,2022-03-25,09:31-09:40,-146.852833,903.0079471780145
baseline_pool_l,09:31-09:40,2022-03-28,09:31-09:40,-168.864732,900.553283735079
baseline_pool_l,09:31-09:40,2022-03-29,09:31-09:40,-149.424043,900.934030296864
baseline_pool_l,09:31-09:40,2022-03-30,09:31-09:40,-83.017779,912.7668136160961
baseline_pool_l,09:31-09:40,2022-03-31,09:31-09:40,-127.547255,878.0168398393869
baseline_pool_l,09:31-09:40,2022-04-01,09:31-09:40,-63.505667,873.5691440682975
baseline_pool_l,09:31-09:40,2022-04-06,09:31-09:40,-136.581718,876.2594122128892
baseline_pool_l,09:31-09:40,2022-04-07,09:31-09:40,-254.261512,883.4545575359048
baseline_pool_l,09:31-09:40,2022-04-08,09:31-09:40,-394.042249,934.438614844785
baseline_pool_l,09:31-09:40,2022-04-11,09:31-09:40,-404.824415,949.5154386666043
baseline_pool_l,09:31-09:40,2022-04-12,09:31-09:40,-413.258714,949.948884505859
baseline_pool_l,09:31-09:40,2022-04-13,09:31-09:40,-405.015095,954.073328943774
baseline_pool_l,09:31-09:40,2022-04-14,09:31-09:40,-452.979709,963.2325185155748
baseline_pool_l,09:31-09:40,2022-04-15,09:31-09:40,-438.695356,935.8537156574355
baseline_pool_l,09:31-09:40,2022-04-18,09:31-09:40,-285.704391,943.5690510559793
baseline_pool_l,09:31-09:40,2022-04-19,09:31-09:40,-369.527599,917.6151791398554
baseline_pool_l,09:31-09:40,2022-04-20,09:31-09:40,-634.690441,911.1914390096844
baseline_pool_l,09:31-09:40,2022-04-21,09:31-09:40,-846.454061,911.4915855093454
baseline_pool_l,09:31-09:40,2022-04-22,09:31-09:40,-1240.636956,900.167463429605
baseline_pool_l,09:31-09:40,2022-04-25,09:31-09:40,-1635.028369,939.6021907267841
baseline_pool_l,09:31-09:40,2022-04-26,09:31-09:40,-1551.213507,973.4383353521805
baseline_pool_l,09:31-09:40,2022-04-27,09:31-09:40,-1391.186540,955.9837774423704
baseline_pool_l,09:31-09:40,2022-04-28,09:31-09:40,-1260.116661,918.3291069280474
baseline_pool_l,09:31-09:40,2022-04-29,09:31-09:40,-955.491538,953.7737705707582
baseline_pool_l,09:31-09:40,2022-05-05,09:31-09:40,-850.013137,1019.365032975012
baseline_pool_l,09:31-09:40,2022-05-06,09:31-09:40,-687.275672,1043.7545923050154
baseline_pool_l,09:31-09:40,2022-05-09,09:31-09:40,-534.084915,1075.2238876909769
baseline_pool_l,09:31-09:40,2022-05-10,09:31-09:40,-409.919994,1038.2863569684473
baseline_pool_l,09:31-09:40,2022-05-11,09:31-09:40,-388.368220,1035.7111051870975
baseline_pool_l,09:31-09:40,2022-05-12,09:31-09:40,-352.746872,1016.7017921959521
baseline_pool_l,09:31-09:40,2022-05-13,09:31-09:40,-330.828193,1019.279181963097
baseline_pool_l,09:31-09:40,2022-05-16,09:31-09:40,-342.306435,1043.828248605771
baseline_pool_l,09:31-09:40,2022-05-17,09:31-09:40,-309.346703,1016.6327136895347
baseline_pool_l,09:31-09:40,2022-05-18,09:31-09:40,-320.775576,963.8566207065761
baseline_pool_l,09:31-09:40,2022-05-19,09:31-09:40,-180.204522,970.0764683372405
baseline_pool_l,09:31-09:40,2022-05-20,09:31-09:40,-68.596587,993.2520393640398
baseline_pool_l,09:31-09:40,2022-05-23,09:31-09:40,-237.707648,998.0818892942447
baseline_pool_l,09:31-09:40,2022-05-24,09:31-09:40,-374.976605,976.9545777847595
baseline_pool_l,09:31-09:40,2022-05-25,09:31-09:40,-309.097810,959.1878597988479
baseline_pool_l,09:31-09:40,2022-05-26,09:31-09:40,-262.473091,962.2270359430357
baseline_pool_l,09:31-09:40,2022-05-27,09:31-09:40,-225.177733,979.5827858353487
baseline_pool_l,09:31-09:40,2022-05-30,09:31-09:40,-109.425978,987.0411709825922
baseline_pool_l,09:31-09:40,2022-05-31,09:31-09:40,-48.462451,929.4642634022317
baseline_pool_l,09:31-09:40,2022-06-01,09:31-09:40,43.920883,948.7058603432286
baseline_pool_l,09:31-09:40,2022-06-02,09:31-09:40,233.856298,979.831118476584
baseline_pool_l,09:31-09:40,2022-06-06,09:31-09:40,291.441157,985.9986314561161
baseline_pool_l,09:31-09:40,2022-06-07,09:31-09:40,239.633678,967.8040849323913
baseline_pool_l,09:31-09:40,2022-06-08,09:31-09:40,157.190900,990.2740961783888
baseline_pool_l,09:31-09:40,2022-06-09,09:31-09:40,224.154569,1045.3094394565812
baseline_pool_l,09:31-09:40,2022-06-10,09:31-09:40,378.764100,1093.4069971310998
baseline_pool_l,09:31-09:40,2022-06-13,09:31-09:40,410.364053,1116.1401508342137
baseline_pool_l,09:31-09:40,2022-06-14,09:31-09:40,425.953537,1086.359713072011
baseline_pool_l,09:31-09:40,2022-06-15,09:31-09:40,415.179527,1068.792215055007
baseline_pool_l,09:31-09:40,2022-06-16,09:31-09:40,486.810612,1103.4415981930597
baseline_pool_l,09:31-09:40,2022-06-17,09:31-09:40,638.856586,1157.3359336236595
baseline_pool_l,09:31-09:40,2022-06-20,09:31-09:40,619.029032,1136.743520031327
baseline_pool_l,09:31-09:40,2022-06-21,09:31-09:40,536.953079,1134.5990711563024
baseline_pool_l,09:31-09:40,2022-06-22,09:31-09:40,637.164976,1198.3539176279376
baseline_pool_l,09:31-09:40,2022-06-23,09:31-09:40,800.975343,1226.0988709233288
baseline_pool_l,09:31-09:40,2022-06-24,09:31-09:40,892.355905,1245.8450881316971
baseline_pool_l,09:31-09:40,2022-06-27,09:31-09:40,982.861169,1259.6102819974456
baseline_pool_l,09:31-09:40,2022-06-28,09:31-09:40,909.257361,1203.3610098630725
baseline_pool_l,09:31-09:40,2022-06-29,09:31-09:40,834.344156,1187.2662299417605
baseline_pool_l,09:31-09:40,2022-06-30,09:31-09:40,856.515567,1201.7737848001984
baseline_pool_l,09:31-09:40,2022-07-01,09:31-09:40,890.816772,1200.6780083074977
baseline_pool_l,09:31-09:40,2022-07-04,09:31-09:40,977.325743,1267.2140075264415
baseline_pool_l,09:31-09:40,2022-07-05,09:31-09:40,895.704131,1286.150855021553
